Světová a česká literatura do konce 18. století
Číslo titulu,Číslo otázky,Jméno a příjmení autora,Název titulu,Literární forma
3,1,William Shakespeare,Romeo a Julie,drama
4,2,William Shakespeare,Hamlet,drama
6,3,Moliére,Lakomec,drama
8,4,Jonathan Swift,Gulliverovy cesty,próza
Světová a česká literatura do konce 19. století
Číslo titulu,Číslo otázky,Jméno a příjmení autora,Název titulu,Literární forma
11,5,Edgar Allan Poe,Havran,poezie
13,6,Nikolaj Vasiljevič Gogol,Revizor,drama
19,7,Oscar Wilde,Obraz Doriana Graye,próza
21,8,Karel Hynek Mácha,Máj,poezie
Světová literatura 20. a 21. století
Číslo titulu,Číslo otázky,Jméno a příjmení autora,Název titulu,Literární forma
33,9,Romain Rolland,Petr a Lucie,próza
37,10,Ernest Hemingway,Stařec a moře,próza
38,11,John Steinbeck,O myších a lidech,próza
40,12,Antoine de Saint-Exupéry,Malý princ,próza
41,13,George Orwell,Farma zvířat,próza
42,14,George Orwell,1984,próza
Česká literatura 20. a 21. století
Číslo titulu,Číslo otázky,Jméno a příjmení autora,Název titulu,Literární forma
56,15,Franz Kafka,Proměna,próza
57,16,Viktor Dyk,Krysař,próza
58,17,Jaroslav Hašek,Osudy dobrého vojáka Švejka za světové války (1. díl: V zázemí),próza
59,18,Vladislav Vančura,Rozmarné léto,próza
60,19,Karel Čapek,R.U.R,drama
61,20,Karel Čapek,Válka s Mloky,próza
